id,codigo,titulo,telefono,direccion,latitud,longitud,es_autobanco,es_principal,ciudad,departamento,horario_atencion,estado_aprobacion,tipo_punto_atencion1,tipo_punto_atencion2,servicios_ofertados,tiene_pos
567,63,AGENCIA MUTUALISTA,(591-3) 3633000,3ER ANILLO INTERNO (ENTRE AV. ALEMANA Y AV. MUTUALISTA),-17.7623417,-63.1635083,True,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
569,65,AGENCIA PARQUE INDUSTRIAL,(591-3) 3633000,AV. PRINCIPAL PARQUE INDUSTRIAL MZ 7,-17.7675,-63.1436111,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
570,66,AGENCIA MELCHOR PINTO,(591-3) 3633000,AVENIDA MELCHOR PINTO No 742,-17.7824944,-63.1654639,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
571,67,AGENCIA  LA RAMADA,(591-3) 3633000,AVENIDA. GRIGOTÁ No 566,-17.7968889,-63.1916222,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
572,69,AGENCIA CHIRIGUANO,(591-3) 3633000,AV. ROQUE AGUILERA (3ER ANILLO INTERNO) ESQ. AV. EL PALMAR (RADIAL 19)  ENTRE AV. ROCA CORONADO Y AV. PIRAI,-17.7904444,-63.205,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
573,73,AGENCIA GRIGOTA,(591-3) 3633000,"AV. DOBLE VÍA A LA GUARDIA ESQ. CALLE LAS PALMAS UV. 52, MZ. 34, BARRIO LAS PALMAS",-17.8071667,-63.2033333,True,False,Santa Cruz de la Sierra,Santa Cruz,Lun-Sab%09:00%20:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
574,78,AGENCIA MONTERO,(591-3) 3633000,CALLE WARNES No 112 - MONTERO,-17.343024295981238,-63.25586557562617,False,False,Montero,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
575,79,AGENCIA WARNES,(591-3) 3633000,"CARRETERA AL NORTE KM. 30, AVENIDA 25 DE MAYO S/N ENTRE CORONEL MERCADO Y RECAREDO RODA",-17.5102472,-63.167575,False,False,Warnes,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
576,80,AGENCIA  PUERTO AGUIRRE,(591-3) 3633000,ZONA FRANCA PUERTO AGUIRRE,-18.9975722,-57.7125556,False,False,Puerto Quijarro,Santa Cruz,Lun-Vie%09:00%14:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
577,81,AGENCIA YAPACANI,(591-3) 3633000,"AVENIDA YAPACANI, BARRIO FUJI, DISTRITO 1",-17.291776044035345,-63.84487326883748,False,False,San Juan de Yapacani,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
