id,titulo,zona,direccion,codigo,codigo_asfi,latitud,longitud,ciudad,discapacitados,deposito_cheque,deposito_efectivo,horario_atencion,estado_aprobacion,monedas_disponibles,telefono_emergencia,servicios_ofertados,tipo_punto_atencion
3018,AG MERCADO CAMPESINO,CALLE J. PRUDENCIO BUSTILLOS N° 242,CALLE J. PRUDENCIO BUSTILLOS N° 242,MSR431,BME383,-19.033717255859,-65.2529495222969,Sucre,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+691 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Interno
3019,AG JUNIN 3,CALLE JUNIN No 154,CALLE JUNIN No 154,MSC409,BME387,-17.7828,-63.1833444444444,Santa Cruz de la Sierra,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Sin Recinto
3021,HIPERMAXI RADIAL 26,AV. 4TO ANILLO CASI ESQ. RADIAL 26 (AV. OVIDIO BARBERY JUSTINIANO),"AV. 4TO ANILLO CASI ESQ. RADIAL 26 (AV. OVIDIO BARBERY JUSTINIANO), SUPERMERCADO HIPERMAXI",MSC417,BME389,-17.74995,-63.1854583333333,Santa Cruz de la Sierra,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3022,AG VILLA 1 MAYO,"AV. PRINCIPAL ESQ. CALLE 14 OESTE, U.V. 86, MZ. ZO.M18, ZONA VILLA 1RO DE MAYO","AV. PRINCIPAL ESQ. CALLE 14 OESTE, U.V. 86, MZ. ZO.M18, ZONA VILLA 1RO DE MAYO",MSC428,BME391,-17.8002416666667,-63.1400888888889,Santa Cruz de la Sierra,False,False,True,"Lun-Vie%08:30%12:30%14:30%18:30,Sab%09:00%13:00",Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3023,AV. ESPANA,AV. ESPAÑA NO. 1485 ENTRE LA SALLE Y BULLAIN,AV. ESPAÑA NO. 1485 ENTRE LA SALLE Y BULLAIN,MOR434,BME396,-17.9805166666667,-67.126425,Oruro,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,5114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3024,PLZ 14 DE SEPTIEMBRE,ESTEBAN ARCE N° S-305 ESQUINA SUCRE (PLAZA 14 DE SEPTIEMBRE),ESTEBAN ARCE N° S-305 ESQUINA SUCRE (PLAZA 14 DE SEPTIEMBRE),MCB436,BME400,-17.3942916666667,-66.1561666666667,Cochabamba,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+411 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3026,AG NORTE CBBA 1,AV. AMERICA ESQ. AV. LIBERTADOR BOLIVAR ,AV. AMERICA ESQ. AV. LIBERTADOR BOLIVAR ,MCB438,BME409,-17.3725222222222,-66.1632777777778,Cochabamba,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+411 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Sin Recinto
3027,AG NORTE CBBA 2,AV. AMERICA ESQ. AV. LIBERTADOR BOLIVAR,AV. AMERICA ESQ. AV. LIBERTADOR BOLIVAR,MCB439,BME410,-17.3725222222222,-66.1632777777778,Cochabamba,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+411 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Sin Recinto
3028,HIPERMAXI PIRAI,AV. PIRAI Y SEGUNDO ANILLO (SUPERMERCADO HIPERMAXI),AV. PIRAI Y SEGUNDO ANILLO (SUPERMERCADO HIPERMAXI),MSC444,BME411,-17.7899638888889,-63.1949194444444,Santa Cruz de la Sierra,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3029,AG LA RAMADA 2,Zona La Ramada,Av. Grigotá,MSC995,BME1173,-17.7969055555556,-63.1916222222222,Santa Cruz de la Sierra,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+591 3 3114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Sin Recinto
