ID,NOMBRE,DESCRIPCION,HORARIO,TELEFONO,TIPO,SUB_TIPO,LATITUD,LONGITUD,DIRECCION
8617,ATM: 468 Especial Madre india,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.7976233,-63.17459769999999,"Av. El trompillo, Esq. Av. Argentina, 2do. Anillo, Sala de Autoservicios."
5179,ATM: 469 Autocajero Madre India,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_L,-17.797773304367695,-63.174668985159684,"Av. El trompillo, esquina Avenida Argentina, 2do. Anillo."
8943,ATM: 366 Embol Quillacollo,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3896382,-66.25096479999999,"Av. Elias Meneses S/N. Quillacollo, Instalaciones de EMBOL Planta Cochabamba"
159,ATM: 314 Villazon,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3754166667,-66.1292194444,"Av. Eliodoro Villazon km.2.5, Rotonda Servicio de Caminos, Carretera a Sacaba."
8642,ATM: 361 Hipermaxi Sacaba,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3822906,-66.11889719999999,"Av. Eliodoro Villazón Km. 3, s/n."
6139,ATM: 216 Mercado Young,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.97934044706402,-67.1306160075226,Av. España entre Av. Dehene y Calle Salamanca.
118,ATM: 289 Villa San Antonio,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.4956316,-68.1162843,"Av. Esteban Arce N° 1827, Cruce Villa San Antonio, Villa Copacabana."
7973,ATM: 740 Achumani Sala II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.531581016727753,-68.07307205871138,"Av. Garcia Lanza N°18, entre Calles 15 y 16, Zona Achumani."
7975,ATM: 738 AutoCajero Achumani,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.531449853581382,-68.07281855039206,"Av. Garcia Lanza N°18, entre Calles 15 y 16, Zona Achumani."
7971,ATM: 739 I Sala Achumani,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.53157865566002,-68.07297143282138,"Av. Garcia Lanza N°18, entre Calles 15 y 16, Zona Achumani."
76,ATM: 272 Depositario Agencia Grigota,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.799406086504376,-63.19376299213859,"Av. Grigota N° 163, entre 2do y 3er Anillo, Zona El Pary UV-28, Mz-5"
6409,ATM: 520 Agencia Grigota II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.799457716670293,-63.193837108080494,"Av. Grigotá N° 163, entre 2do. y 3er. Anillo, Zona El Pari."
9537,Kiosko de Autoservicio Ag. Grigota,Kiosco de Autoservicio,Horario.NO,3 173000,Tipo.ATM,SubTipo.KIOSCO,-17.79935590677373,-63.192856538097125,"Av. Grigotá N° 163, entre 2do y 3er Anillo, Zona El Pary"
9487,Kiosko de Autoservicio Ag. Grigota II,Kiosko de Autoservicio,Horario.NO,3173000,Tipo.ATM,SubTipo.KIOSCO,-17.799263969258554,-63.193328606883746,"Av. Grigotá N° 163, entre 2do y 3er Anillo, Zona El Pary"
5,AGENCIA GRIGOTÁ,Santa Cruz,Horario.NO,(591-3) 317-3000,Tipo.AGENCIA,SubTipo.AGENCIA_B,-17.79945,-63.1938222222,"Av. Grigotá N°163, entre 2do y 3er Anillo, Zona El Pari."
8641,ATM: 360 Av. Villarroel,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3694329,-66.1586342,"Av. Gualberto Villarroel N° 2030, casi ciclovía acera este."
111,ATM: 281 Calle 16 de Obrajes,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.5296098,-68.10212489999999,Av. Hernando Siles N° 6204 Esq Calle 16 de Obrajes.
8918,ATM: 725 Héroes del Pacífico,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.494683,-68.1219115,"Av. Héroes del Pacifico, entre Av. Estados Unidos y Av. Busch, Zona Miraflores."
116,ATM: 286 Illampu,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.494970057171184,-68.14043478129263,"Av. Illampu N° 670, Zona el Rosario."
8878,ATM: 363 Av. Ingavi,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.4018501,-66.1825905,"Av. Ingavi N° 2470, entre la Av. Melchor Perez Olguin y Calle De Los Arces, diagonal al Surtidor Cochabamba"
63,ATM: 255 Av. Irala,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.792059039709162,-63.180103069676306,"Av. Irala N° 470 casi esquina Rene Moreno, al lado de la Clínica Angel Foianini, sobre el 1er anillo"
9493,Kiosko de Autoservicio Mapaiso Sur,Kiosco de Autoservicio,Horario.NO,3173000,Tipo.ATM,SubTipo.KIOSCO,-17.79318885848211,-63.18510831048899,Av. Irala N°711
6133,ATM: 224 El Reloj,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-19.03920134878457,-65.2537026854959,"Av. Jaime Mendoza N° 1597, Zona el Reloj."
